FirstName;LastName;UserName;Password;Email;Department;JobTitle;;;
Wendy;Thompson;wthompson;;wthompson@happykoalas.com;IT;Developer;;;
Laura;Clark;lclark;;lclark@happykoalas.com;Production;Assembler;;;
Zack;Lewis;zlewis;;zlewis@happykoalas.com;Production;Supervisor;;;
Bob;Walker;bwalker;;bwalker@happykoalas.com;Production;Operator;;;
Nina;Thomas;nthomas;;nthomas@happykoalas.com;Production;Assembler;;;
Diana;Walker;dwalker;;dwalker@happykoalas.com;Production;Supervisor;;;
Diana;White;dwhite;;dwhite@happykoalas.com;Production;Operator;;;
Nina;Jackson;njackson;;njackson@happykoalas.com;Production;Supervisor;;;
Rachel;Harris;rharris;;rharris@happykoalas.com;Marketing;Content Creator;;;
Ian;Clark;iclark;;iclark@happykoalas.com;Marketing;Content Creator;;;
Kevin;Taylor;ktaylor;;ktaylor@happykoalas.com;Marketing;SEO Manager;;;
Xavier;Harris;xharris;;xharris@happykoalas.com;Marketing;Marketing Specialist;;;
Laura;Rodriguez;lrodriguez;;lrodriguez@happykoalas.com;Production;Assembler;;;
Alice;Hall;ahall;;ahall@happykoalas.com;Marketing;Content Creator;;;
Fiona;Martinez;fmartinez;;fmartinez@happykoalas.com;Finance;Financial Analyst;;;
Oscar;Lewis;olewis;;olewis@happykoalas.com;Production;Operator;;;
Xavier;Anderson;xanderson;;xanderson@happykoalas.com;Production;Supervisor;;;
Rachel;Thomas;rthomas;;rthomas@happykoalas.com;Production;Supervisor;;;
Zack;Lewis;zlewis;;zlewis@happykoalas.com;Production;Operator;;;
Ian;Hall;ihall;;ihall@happykoalas.com;Marketing;Marketing Specialist;;;
Steve;Harris;sharris;;sharris@happykoalas.com;Production;Operator;;;
Uma;Harris;uharris;;uharris@happykoalas.com;Production;Assembler;;;
Diana;Robinson;drobinson;;drobinson@happykoalas.com;Production;Assembler;;;
Diana;Walker;dwalker;;dwalker@happykoalas.com;Finance;Financial Analyst;;;
George;Jackson;gjackson;;gjackson@happykoalas.com;Production;Operator;;;
Diana;Thompson;dthompson;;dthompson@happykoalas.com;RH;Recruiter;;;
Ian;Smith;ismith;;ismith@happykoalas.com;Production;Operator;;;
Hannah;Martinez;hmartinez;;hmartinez@happykoalas.com;Production;Assembler;;;
Oscar;Smith;osmith;;osmith@happykoalas.com;Marketing;SEO Manager;;;
Alice;Thompson;athompson;;athompson@happykoalas.com;Production;Operator;;;
Yara;Clark;yclark;;yclark@happykoalas.com;Production;Supervisor;;;
Julia;Smith;jsmith;;jsmith@happykoalas.com;Production;Assembler;;;
Uma;Thomas;uthomas;;uthomas@happykoalas.com;Marketing;SEO Manager;;;
Laura;Martin;lmartin;;lmartin@happykoalas.com;Production;Operator;;;
Tina;Lee;tlee;;tlee@happykoalas.com;Production;Supervisor;;;
Ian;Lee;ilee;;ilee@happykoalas.com;RH;HR Specialist;;;
Nina;Lewis;nlewis;;nlewis@happykoalas.com;Production;Operator;;;
Victor;Thomas;vthomas;;vthomas@happykoalas.com;Production;Assembler;;;
Steve;Johnson;sjohnson;;sjohnson@happykoalas.com;Production;Supervisor;;;
Fiona;Anderson;fanderson;;fanderson@happykoalas.com;Production;Operator;;;
Rachel;Jackson;rjackson;;rjackson@happykoalas.com;Marketing;SEO Manager;;;
Nina;Anderson;nanderson;;nanderson@happykoalas.com;Production;Operator;;;
Rachel;Walker;rwalker;;rwalker@happykoalas.com;Production;Operator;;;
Wendy;Martinez;wmartinez;;wmartinez@happykoalas.com;IT;IT Support;;;
Steve;Thomas;sthomas;;sthomas@happykoalas.com;IT;System Administrator;;;
Alice;Walker;awalker;;awalker@happykoalas.com;Production;Assembler;;;
Yara;Harris;yharris;;yharris@happykoalas.com;RH;Recruiter;;;
Evan;Smith;esmith;;esmith@happykoalas.com;IT;IT Support;;;
Paula;Martin;pmartin;;pmartin@happykoalas.com;Production;Assembler;;;
Alice;Walker;awalker;;awalker@happykoalas.com;Marketing;SEO Manager;;;
Zack;Jackson;zjackson;;zjackson@happykoalas.com;Marketing;Marketing Specialist;;;
Victor;Clark;vclark;;vclark@happykoalas.com;Production;Supervisor;;;
Alice;White;awhite;;awhite@happykoalas.com;Production;Supervisor;;;
Steve;White;swhite;;swhite@happykoalas.com;Production;Operator;;;
Quentin;Johnson;qjohnson;;qjohnson@happykoalas.com;Production;Operator;;;
Tina;Thomas;tthomas;;tthomas@happykoalas.com;Production;Supervisor;;;
Quentin;Thompson;qthompson;;qthompson@happykoalas.com;IT;Developer;;;
Evan;Smith;esmith;;esmith@happykoalas.com;Finance;Financial Analyst;;;
Quentin;Lewis;qlewis;;qlewis@happykoalas.com;Marketing;Content Creator;;;
Charlie;Clark;cclark;;cclark@happykoalas.com;Production;Operator;;;
Fiona;Thompson;fthompson;;fthompson@happykoalas.com;Production;Operator;;;
George;Lewis;glewis;;glewis@happykoalas.com;Marketing;Content Creator;;;
Laura;Jackson;ljackson;;ljackson@happykoalas.com;Production;Assembler;;;
Oscar;Anderson;oanderson;;oanderson@happykoalas.com;Production;Assembler;;;
Bob;Jackson;bjackson;;bjackson@happykoalas.com;Production;Supervisor;;;
Xavier;Lee;xlee;;xlee@happykoalas.com;Marketing;Marketing Specialist;;;
Tina;Walker;twalker;;twalker@happykoalas.com;IT;Developer;;;
Paula;White;pwhite;;pwhite@happykoalas.com;Production;Assembler;;;
Fiona;Johnson;fjohnson;;fjohnson@happykoalas.com;Production;Operator;;;
Xavier;Brown;xbrown;;xbrown@happykoalas.com;Marketing;Content Creator;;;
Paula;Thompson;pthompson;;pthompson@happykoalas.com;Production;Supervisor;;;
Nina;Walker;nwalker;;nwalker@happykoalas.com;Production;Operator;;;
Victor;Lee;vlee;;vlee@happykoalas.com;Production;Supervisor;;;
Steve;Garcia;sgarcia;;sgarcia@happykoalas.com;Marketing;Marketing Specialist;;;
George;Thompson;gthompson;;gthompson@happykoalas.com;Marketing;Content Creator;;;
Julia;Brown;jbrown;;jbrown@happykoalas.com;Production;Operator;;;
Uma;White;uwhite;;uwhite@happykoalas.com;Marketing;Marketing Specialist;;;
Zack;Anderson;zanderson;;zanderson@happykoalas.com;Production;Assembler;;;
Fiona;White;fwhite;;fwhite@happykoalas.com;IT;System Administrator;;;
Fiona;Clark;fclark;;fclark@happykoalas.com;Production;Operator;;;
Alice;Anderson;aanderson;;aanderson@happykoalas.com;Production;Operator;;;
Paula;Robinson;probinson;;probinson@happykoalas.com;Marketing;SEO Manager;;;
Laura;Rodriguez;lrodriguez;;lrodriguez@happykoalas.com;IT;IT Support;;;
Ian;Martinez;imartinez;;imartinez@happykoalas.com;IT;System Administrator;;;
Steve;Jackson;sjackson;;sjackson@happykoalas.com;Marketing;Content Creator;;;
Kevin;Thompson;kthompson;;kthompson@happykoalas.com;Production;Supervisor;;;
Uma;Martinez;umartinez;;umartinez@happykoalas.com;Production;Supervisor;;;
Victor;Hall;vhall;;vhall@happykoalas.com;Marketing;Content Creator;;;
Hannah;Brown;hbrown;;hbrown@happykoalas.com;Production;Supervisor;;;
George;Hall;ghall;;ghall@happykoalas.com;RH;Recruiter;;;
Julia;Walker;jwalker;;jwalker@happykoalas.com;RH;HR Specialist;;;
Hannah;Lee;hlee;;hlee@happykoalas.com;RH;Recruiter;;;
Tina;White;twhite;;twhite@happykoalas.com;Production;Operator;;;
Diana;Harris;dharris;;dharris@happykoalas.com;Production;Operator;;;
Kevin;Clark;kclark;;kclark@happykoalas.com;Production;Operator;;;
Uma;Jackson;ujackson;;ujackson@happykoalas.com;Production;Operator;;;
Uma;Harris;uharris;;uharris@happykoalas.com;Production;Operator;;;
Alice;Martinez;amartinez;;amartinez@happykoalas.com;IT;Developer;;;
Steve;Thompson;sthompson;;sthompson@happykoalas.com;Production;Assembler;;;
Ian;Harris;iharris;;iharris@happykoalas.com;Marketing;Marketing Specialist;;;
Steve;Walker;swalker;;swalker@happykoalas.com;Production;Supervisor;;;
Zack;Clark;zclark;;zclark@happykoalas.com;Production;Supervisor;;;
Bob;Thompson;bthompson;;bthompson@happykoalas.com;Marketing;Content Creator;;;
Alice;Jackson;ajackson;;ajackson@happykoalas.com;Production;Operator;;;
Hannah;Thomas;hthomas;;hthomas@happykoalas.com;Finance;Financial Analyst;;;
Zack;Brown;zbrown;;zbrown@happykoalas.com;IT;IT Support;;;
Charlie;White;cwhite;;cwhite@happykoalas.com;Production;Assembler;;;
Diana;Lee;dlee;;dlee@happykoalas.com;RH;HR Specialist;;;
Quentin;Hall;qhall;;qhall@happykoalas.com;Production;Supervisor;;;
Hannah;Rodriguez;hrodriguez;;hrodriguez@happykoalas.com;Production;Supervisor;;;
Bob;Smith;bsmith;;bsmith@happykoalas.com;Production;Assembler;;;
Evan;Smith;esmith;;esmith@happykoalas.com;Marketing;Content Creator;;;
Julia;Lewis;jlewis;;jlewis@happykoalas.com;Production;Supervisor;;;
Victor;Lee;vlee;;vlee@happykoalas.com;Production;Assembler;;;
Fiona;Lee;flee;;flee@happykoalas.com;Production;Operator;;;
Steve;White;swhite;;swhite@happykoalas.com;Marketing;SEO Manager;;;
Alice;Dale;adale;;adale@happykoalas.com;IT;IT Support;;;
Rafael;Ferreira Da Costa;rferreira;;rferreira@happykoalas.com;IT;IT Support;;;
David;Gillard;dgillard;;dgillard@happykoalas.com;IT;IT Support;;;
Dana Maria;Jaquenod;djaquenod;;djaquenod@happykoalas.com;IT;IT Support;;;
Mohamad;Jasser;mjasser;;mjasser@happykoalas.com;IT;IT Support;;;
Abukar;Mohamed Ali;amohamed;;amohamed@happykoalas.com;IT;IT Support;;;
Steven;Pillonel;spillonel;;spillonel@happykoalas.com;IT;IT Support;;;
Jorge;Pinho Dias;jpinho;;jpinho@happykoalas.com;IT;IT Support;;;
Jasantha;Ramajeyam;jramajeyam;;jramajeyam@happykoalas.com;IT;IT Support;;;
Stanislas;Rohrbach;srohrbach;;srohrbach@happykoalas.com;IT;IT Support;;;
Shania;Sangiorgio;ssangiorgio;;ssangiorgio@happykoalas.com;IT;IT Support;;;
Noah-Lisandru;Schmidt;nschmidt;;nschmidt@happykoalas.com;IT;IT Support;;;
Chris;Simao dos Santos;csimao;;csimao@happykoalas.com;IT;IT Support;;;
Dijon;Sims;dsims;;dsims@happykoalas.com;IT;IT Support;;;
Leo;Toffel;ltoffel;;ltoffel@happykoalas.com;IT;IT Support;;;
Paul;von Däniken;pvondaniken;;pvondankiken@happykoalas.com;IT;IT Support;;;
